feature,importance
Maternal_age,0.1401196998990775
tB,0.06359879507534172
Paternal_age,0.05514283866037891
AMH,0.049766741549830344
tM,0.046896312354776766
Oocyte_number,0.046510948254858644
t8,0.04599338161860426
tSB,0.045644542252691565
BMI,0.04304114180453336
LH,0.04131712303164699
t5,0.04061838751681254
E2,0.04060108170004096
Sperm_conc,0.039679211714052094
P4,0.0387559555103195
t4,0.038689107649684
tPNf,0.03720709096252974
Day5_grade,0.03585085696536127
t3,0.03452693794936489
t2,0.03249714418087501
Sperm_motility,0.03187779509202953
Biopsy_grade,0.03084256726775179
IVF_number,0.0208223389894387
